"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",139.187,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",134.172,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",132.423,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",128.634,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",127.742,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",124.178,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",122.524,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",119.074,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",115.056,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",111.105,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",107.634,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",103.505,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",99.623,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",93.998,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",88.236,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",83.66,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",80.477,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",79.071,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",77.305,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",74.371,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",72.271,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",71.617,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",69.955,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",68.95,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",69.427,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",69.773,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",67.036,
"AUS","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",66.038,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",675.491,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",668.535,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",654.39,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",636.988,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",614.787,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",604.414,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",591.872,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",563.644,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",538.154,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",513.498,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",490.172,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",466.117,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",456.728,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",447.112,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",428.939,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",420.388,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",405.494,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",397.962,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",388.255,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",386.189,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",376.432,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",364.81,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",353.114,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",337.164,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",319.853,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",307.617,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",279.303,
"AUT","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",259.615,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",699.434,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",677.337,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",661.899,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",650.592,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",629.25,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",617.687,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",603.287,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",584.765,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",569.706,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",553.315,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",534.512,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",510.942,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",496.311,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",477.228,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",450.323,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",438.522,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",426.551,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",429.357,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",435.705,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",437.836,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",432.385,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",417.741,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",395.783,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",362.484,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",326.122,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",312.865,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",301.233,
"BEL","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",300.176,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",213.875,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",211.241,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",209.043,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",209.65,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",207.222,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",205.53,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",201.509,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",196.716,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",191.443,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",185.057,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",178.29,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",174.286,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",172.335,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",169.592,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",165.189,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",160.805,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",152.684,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",144.499,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",134.557,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",124.194,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",115.786,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",109.261,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",104.514,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",100.279,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",98.181,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",96.955,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",98.277,
"CAN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",99.559,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",1256.59,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",1190.775,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",1149.069,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",1092.316,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",1064.552,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",1057.064,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",993.487,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",961.609,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",891.146,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",854.931,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",838.54,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",825.982,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",805.076,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",814.132,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",776.937,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",767.118,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",731.759,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",720.98,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",717.853,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",709.219,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",700.722,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",693.08,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",673.094,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",649.41,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",612.978,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",603.457,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",581.064,
"CZE","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",573.418,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",713.361,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",683.873,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",666.692,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",650.048,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",626.486,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",604.379,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",573.116,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",542.355,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",512.567,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",503.643,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",477.123,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",468.294,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",452.377,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",426.442,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",401.002,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",380.911,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",375.05,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",371.129,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",363.976,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",361.553,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",351.74,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",328.031,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",296.584,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",263.837,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",235.323,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",224.227,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",229.764,
"DNK","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",235.138,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",269.214,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",256.361,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",247.771,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",237.334,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",219.793,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",212.918,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",204.025,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",195.588,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",186.176,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",177.202,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",169.569,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",160.874,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",154.55,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",147.34,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",140.062,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",135.089,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",131.916,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",131.861,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",131.266,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",131.285,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",130.486,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",123.062,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2012",109.986,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2013",94.025,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2014",78.602,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2015",67.303,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2016",60.025,
"FIN","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2017",56.835,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1990",403.756,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1991",391.127,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1992",379.646,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1993",372.901,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1994",361.649,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1995",357.472,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1996",353.517,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1997",344.265,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1998",342.592,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","1999",336.5,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2000",326.014,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2001",317.487,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2002",310.935,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2003",302.892,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2004",283.634,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2005",278.893,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2006",274.319,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2007",273.725,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2008",276.776,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2009",278.783,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2010",275.995,
"FRA","POLLUTIONEFFECT","MORTALITY","1000000HAB","A","2011",269.655,
