individual_id,university_attended,income
1,elite university,65492
2,elite university,102298
3,non-elite university,64392
4,non-elite university,33263
5,elite university,47262
6,elite university,33251
7,elite university,44818
8,non-elite university,58367
9,non-elite university,54140
10,non-elite university,46136
11,elite university,41507
12,non-elite university,72184
13,elite university,66665
14,non-elite university,51356
15,elite university,101242
16,non-elite university,39134
17,elite university,65006
18,non-elite university,78069
19,non-elite university,62915
20,non-elite university,52120
21,non-elite university,58668
22,non-elite university,75475
23,elite university,67867
24,non-elite university,68409
25,non-elite university,37207
26,elite university,84764
27,non-elite university,81917
28,elite university,58797
29,elite university,104621
30,elite university,32650
31,non-elite university,46717
32,non-elite university,46958
33,non-elite university,42780
34,elite university,78814
35,non-elite university,53361
36,non-elite university,34665
37,elite university,89712
38,elite university,31390
39,non-elite university,26009
40,non-elite university,49421
41,elite university,67272
42,elite university,76346
43,non-elite university,39748
44,non-elite university,64068
45,non-elite university,47941
46,elite university,70359
47,non-elite university,66971
48,elite university,107172
49,non-elite university,43022
50,elite university,85422
51,elite university,80165
52,elite university,110639
53,elite university,141209
54,elite university,75059
55,elite university,54665
56,non-elite university,54500
57,elite university,58456
58,elite university,50009
59,non-elite university,54375
60,non-elite university,42622
61,elite university,77397
62,elite university,50034
63,non-elite university,67562
64,elite university,102200
65,elite university,62528
66,elite university,51256
67,non-elite university,67418
68,elite university,32917
69,elite university,79556
70,non-elite university,69117
71,non-elite university,165804
72,elite university,36747
73,elite university,126773
74,non-elite university,68148
75,elite university,54442
76,non-elite university,68010
77,elite university,136412
78,elite university,91433
79,elite university,84130
80,non-elite university,50401
81,elite university,115042
82,elite university,44441
83,non-elite university,84136
84,elite university,41653
85,elite university,86469
86,elite university,34137
87,elite university,63119
88,non-elite university,40753
89,non-elite university,45864
90,elite university,96717
91,non-elite university,65450
92,non-elite university,75442
93,elite university,31954
94,non-elite university,71581
95,elite university,124637
96,elite university,71837
97,non-elite university,45420
98,elite university,121467
99,non-elite university,62636
100,non-elite university,63831
101,elite university,34564
102,non-elite university,109263
103,non-elite university,39692
104,non-elite university,74566
105,non-elite university,59846
106,non-elite university,69258
107,non-elite university,41723
108,non-elite university,49107
109,non-elite university,52582
110,non-elite university,122057
111,elite university,67904
112,elite university,83012
113,elite university,50358
114,non-elite university,69549
115,non-elite university,68410
116,non-elite university,91237
117,non-elite university,78158
118,elite university,78115
119,elite university,48765
120,elite university,63470
121,elite university,121495
122,elite university,79181
123,non-elite university,43373
124,elite university,52514
125,non-elite university,70449
126,elite university,86441
127,elite university,50603
128,elite university,97555
129,non-elite university,61282
130,elite university,65056
131,elite university,63423
132,elite university,64578
133,elite university,82752
134,non-elite university,37274
135,elite university,65009
136,elite university,72948
137,non-elite university,42279
138,elite university,64555
139,non-elite university,57336
140,non-elite university,59156
141,non-elite university,32897
142,elite university,95579
143,non-elite university,91506
144,non-elite university,31358
145,elite university,81239
146,non-elite university,42179
147,elite university,58205
148,elite university,57400
149,non-elite university,50321
150,non-elite university,56433
151,non-elite university,32455
152,non-elite university,39899
153,elite university,44956
154,elite university,58058
155,non-elite university,30441
156,non-elite university,54094
157,elite university,93521
158,elite university,39069
159,elite university,79947
160,elite university,94143
161,elite university,78175
162,elite university,71614
163,non-elite university,60714
164,non-elite university,88065
165,non-elite university,83900
166,non-elite university,37106
167,elite university,81662
168,elite university,33684
169,elite university,51440
170,elite university,87701
171,elite university,70463
172,elite university,54326
173,elite university,80961
174,elite university,72898
175,elite university,69862
176,elite university,82836
177,elite university,46491
178,non-elite university,58065
179,elite university,118645
180,non-elite university,157904
181,elite university,34943
182,elite university,56175
183,elite university,79316
184,elite university,93367
185,non-elite university,43581
186,elite university,97021
187,elite university,52784
188,elite university,80887
189,elite university,41389
190,non-elite university,44337
191,non-elite university,56846
192,elite university,65894
193,non-elite university,129098
194,elite university,76797
195,elite university,78629
196,elite university,51927
197,elite university,58791
198,elite university,50154
199,elite university,94870
200,elite university,47984
201,elite university,65691
202,non-elite university,75840
203,elite university,40849
204,non-elite university,94970
205,non-elite university,53350
206,non-elite university,63490
207,elite university,41344
208,non-elite university,51548
209,elite university,128724
210,non-elite university,63029
211,elite university,118306
212,non-elite university,48226
213,elite university,67394
214,non-elite university,97702
215,non-elite university,66950
216,non-elite university,39491
217,elite university,41352
218,elite university,48710
219,non-elite university,88578
220,non-elite university,51850
221,non-elite university,39843
222,non-elite university,55817
223,elite university,62308
224,elite university,78435
225,non-elite university,110403
226,non-elite university,68413
227,elite university,102324
228,non-elite university,48437
229,elite university,47996
230,elite university,66681
231,non-elite university,60287
232,non-elite university,90936
233,non-elite university,72889
234,non-elite university,44716
235,elite university,48040
236,non-elite university,32582
237,elite university,158181
238,elite university,47878
239,elite university,44740
240,non-elite university,63135
241,elite university,73083
242,non-elite university,48957
243,non-elite university,116351
244,elite university,99684
245,non-elite university,51667
