individual_id,university_attended,income_elite_university,income_non_elite_university
1,elite university,65492,64492
2,elite university,102298,101298
3,non-elite university,65392,64392
4,non-elite university,34263,33263
5,elite university,47262,46262
6,elite university,33251,32251
7,elite university,44818,43818
8,non-elite university,59367,58367
9,non-elite university,55140,54140
10,non-elite university,47136,46136
11,elite university,41507,40507
12,non-elite university,73184,72184
13,elite university,66665,65665
14,non-elite university,52356,51356
15,elite university,101242,100242
16,non-elite university,40134,39134
17,elite university,65006,64006
18,non-elite university,79069,78069
19,non-elite university,63915,62915
20,non-elite university,53120,52120
21,non-elite university,59668,58668
22,non-elite university,76475,75475
23,elite university,67867,66867
24,non-elite university,69409,68409
25,non-elite university,38207,37207
26,elite university,84764,83764
27,non-elite university,82917,81917
28,elite university,58797,57797
29,elite university,104621,103621
30,elite university,32650,31650
31,non-elite university,47717,46717
32,non-elite university,47958,46958
33,non-elite university,43780,42780
34,elite university,78814,77814
35,non-elite university,54361,53361
36,non-elite university,35665,34665
37,elite university,89712,88712
38,elite university,31390,30390
39,non-elite university,27009,26009
40,non-elite university,50421,49421
41,elite university,67272,66272
42,elite university,76346,75346
43,non-elite university,40748,39748
44,non-elite university,65068,64068
45,non-elite university,48941,47941
46,elite university,70359,69359
47,non-elite university,67971,66971
48,elite university,107172,106172
49,non-elite university,44022,43022
50,elite university,85422,84422
51,elite university,80165,79165
52,elite university,110639,109639
53,elite university,141209,140209
54,elite university,75059,74059
55,elite university,54665,53665
56,non-elite university,55500,54500
57,elite university,58456,57456
58,elite university,50009,49009
59,non-elite university,55375,54375
60,non-elite university,43622,42622
61,elite university,77397,76397
62,elite university,50034,49034
63,non-elite university,68562,67562
64,elite university,102200,101200
65,elite university,62528,61528
66,elite university,51256,50256
67,non-elite university,68418,67418
68,elite university,32917,31917
69,elite university,79556,78556
70,non-elite university,70117,69117
71,non-elite university,166804,165804
72,elite university,36747,35747
73,elite university,126773,125773
74,non-elite university,69148,68148
75,elite university,54442,53442
76,non-elite university,69010,68010
77,elite university,136412,135412
78,elite university,91433,90433
79,elite university,84130,83130
80,non-elite university,51401,50401
81,elite university,115042,114042
82,elite university,44441,43441
83,non-elite university,85136,84136
84,elite university,41653,40653
85,elite university,86469,85469
86,elite university,34137,33137
87,elite university,63119,62119
88,non-elite university,41753,40753
89,non-elite university,46864,45864
90,elite university,96717,95717
91,non-elite university,66450,65450
92,non-elite university,76442,75442
93,elite university,31954,30954
94,non-elite university,72581,71581
95,elite university,124637,123637
96,elite university,71837,70837
97,non-elite university,46420,45420
98,elite university,121467,120467
99,non-elite university,63636,62636
100,non-elite university,64831,63831
101,elite university,34564,33564
102,non-elite university,110263,109263
103,non-elite university,40692,39692
104,non-elite university,75566,74566
105,non-elite university,60846,59846
106,non-elite university,70258,69258
107,non-elite university,42723,41723
108,non-elite university,50107,49107
109,non-elite university,53582,52582
110,non-elite university,123057,122057
111,elite university,67904,66904
112,elite university,83012,82012
113,elite university,50358,49358
114,non-elite university,70549,69549
115,non-elite university,69410,68410
