state,county,upward_socmob,popdensity_2000,share_poor_1990,median_income_1990,mean_income_2000,frac_college_2000,mean_math_3g_2013,share_black_2000
1,1,6.0274571,73.466034,0.13958347,29718.635194206,74699.969,0.18973459,2.7598643,0.16422907
1,3,8.72484,88.323204,0.14006257,26435.6906244025,76064.086,0.23003615,2.7925096,0.097916134
1,5,4.1053273,32.818073,0.25627196,19026.7497412145,51246.004,0.10744983,1.6000091,0.4637036
1,7,6.451679,33.450962,0.21320105,19696.7850136175,55094.492,0.070025712,1.5316743,0.22258869
1,9,5.8654677,79.148064,0.14776778,23159.691502392,62749.727,0.096214026,2.8154035,0.012931854
1,11,3.3132665,18.696487,0.3760353,14736.0778002918,41518.551,0.076166436,1.039439,0.73125643
1,13,3.9855022,27.546604,0.31639984,16564.633026209,53386.293,0.10281672,1.5268495,0.41309077
1,15,5.1842224,189.63713,0.14818171,24578.8736724943,60064.41,0.15742382,3.2839758,0.17799953
1,17,3.7593726,61.32613,0.18514353,21354.5979518344,54240.402,0.09511444,2.1440363,0.3744528
1,19,6.4388774,43.321377,0.17523949,21495.5727038362,54810.438,0.096435606,1.712031,0.056788132
1,21,6.6816136,57.144794,0.16894893,21828.3830167495,58160.18,0.099208765,3.1304917,0.10240564
1,23,10.234512,17.429667,0.29751265,17503.9181759146,53174.992,0.094706401,1.9019498,0.43304932
1,25,8.1226982,22.505817,0.25854284,19029.5729689959,55590.383,0.12044387,1.4487185,0.42990211
1,27,6.1435811,23.600863,0.17432588,19242.0861096585,49747.879,0.077876642,1.6756015,0.15937528
1,29,8.1502914,25.215139,0.15155782,21208.6587630243,54088.742,0.092221275,3.0739887,0.036951948
1,31,7.8217737,64.236626,0.14329088,25665.2009577255,66815.43,0.2075303,3.3043158,0.17889202
1,33,6.4879261,92.78907,0.13850182,23053.6243261058,60925.859,0.14280142,2.5650976,0.16722186
1,35,5.6685854,16.572233,0.29646641,15858.1412401739,46990.355,0.093375206,3.0408378,0.43471828
1,37,5.7913586,18.745602,0.17697039,20012.8679261635,54764.941,0.082570285,1.5093206,0.3322916
1,39,10.860306,36.518784,0.21493013,18696.7070838666,52833.57,0.1210404,3.3432653,0.12117664
1,41,7.0851415,22.444357,0.24028192,16549.4571689256,50167.492,0.11362074,3.1199837,0.24967471
1,43,8.0994226,105.43756,0.15332876,21724.9130268982,60555.273,0.11847363,3.8820558,0.010360404
1,45,6.9097437,87.546982,0.14803408,24258.6229659231,57197.398,0.14041103,2.1926258,0.20549522
1,47,4.5923341,47.375431,0.34380999,18384.8059633635,50400.969,0.13978201,2.4282541,0.62523377
1,49,5.5282328,82.941109,0.17293212,20669.9116434537,56427.883,0.082468174,1.8044913,0.017152937
1,51,7.0775628,106.50916,0.13474673,27714.9802032957,73750.031,0.16806358,2.4378459,0.2041214
1,53,5.4528337,40.673721,0.27032277,19280.802954541,54734.641,0.1034471,2.5624282,0.30245632
1,55,5.4374609,193.38457,0.15468949,24504.0565778685,60933.965,0.13482268,2.2325947,0.13680202
1,57,8.3923273,29.466637,0.20329185,20703.4956789049,51696.789,0.0915564,2.8168795,0.12024426
1,59,6.6725366,49.251007,0.20893925,17996.5060244764,52853.957,0.097759016,3.0787928,0.044547424
1,61,6.7904741,44.857994,0.19243564,20185.9283263753,51302.152,0.086572811,2.8225119,0.10569055
1,63,3.7382308,15.413144,0.45425731,12303.2503560608,45566.727,0.10421875,5.4682393,0.80076104
1,65,4.642928,26.687145,0.34762952,14495.6990944674,49181.16,0.081147112,3.3120985,0.58053547
1,67,5.7366651,29.034216,0.16985142,22068.3119502103,56419.445,0.14579207,2.3784873,0.31471714
1,69,5.8233272,153.12296,0.14826328,26915.7347197768,67880.063,0.18661226,2.8737555,0.23213951
1,71,6.9040872,50.030247,0.16308454,22516.0448320823,58419.676,0.10412636,2.9614308,0.037491824
1,73,5.0661646,595.7522,0.12972082,30680.9623643183,76728.961,0.25479212,2.3716967,0.34654245
1,75,8.0929875,26.29434,0.17947499,20737.6499588025,50666.398,0.078101337,2.8613338,0.12086908
1,77,8.5563451,131.74519,0.13673146,25683.195853365,64913.211,0.18625438,3.2964609,0.096703865
1,79,8.0367453,50.38969,0.19308072,21692.2925060599,59604.414,0.075334296,3.0386004,0.12504068
1,81,6.5008,189.60625,0.2158917,25896.4983923381,63987.363,0.30574524,2.8300865,0.22805192
1,83,5.9812311,117.29176,0.13430424,28153.4430673369,69676.516,0.17259422,2.4035375,0.14024979
1,85,2.671797,18.817818,0.37634867,16387.5930972374,49661.629,0.10999939,0.83335233,0.72983724
1,87,3.4091871,39.543755,0.35740346,15252.5169335143,48544.117,0.19857284,2.2081928,0.83421195
1,89,6.5138035,345.18936,0.099498406,36430.6322749553,86251.07,0.34483936,2.6738648,0.22317965
1,91,4.8640534,23.051935,0.30018732,19627.3691091369,55902.914,0.11886861,3.2559211,0.51968205
1,93,7.0728332,42.05386,0.19058862,18596.34956974,53762.836,0.079942919,4.3869233,0.037728149
1,95,7.2047777,145.32527,0.17246391,21557.3721282749,61134.879,0.13643141,3.2309623,0.015905378
1,97,6.1878867,325.22299,0.17983218,26001.6169009985,66232.984,0.18563187,2.9671228,0.29099622
1,99,4.1858714,23.715115,0.21843681,21452.9076209468,55258.684,0.11714826,1.4252567,0.39000836
1,101,4.1922029,284.99911,0.1340977,32908.695150334,75364.336,0.30525136,1.8751533,0.4497261
1,103,6.1216213,191.70914,0.11441453,29497.7946900797,70486.813,0.18398027,2.8007281,0.10997015
1,105,3.8503848,16.501192,0.42406917,14280.6806392478,43593.176,0.10149418,3.0117438,0.6804691
1,107,5.4130081,23.767626,0.28371155,18283.6937150075,52180.891,0.097490571,1.0639271,0.4181757
1,109,5.3653937,44.152588,0.27707773,17531.7139810173,52310.121,0.20182025,2.4254091,0.37397933
1,111,6.5688051,38.549786,0.18821321,19434.1596037184,53141.984,0.099290803,2.209461,0.2137931
1,113,3.4455933,77.448212,0.18099639,22283.0178511478,52174.324,0.097129308,2.0845604,0.3951048
1,115,7.3329784,102.44155,0.14272043,24707.1142440157,68439.984,0.11151128,2.7617831,0.081934534
1,117,11.537323,182.55338,0.086250879,38220.7164995634,103002.66,0.36263925,2.6697447,0.067140318
1,119,4.0886596,16.371515,0.39373776,13275.4930363634,41360.43,0.12791467,1.4651419,0.72519755
1,121,4.7627822,109.01364,0.19651955,21748.2793288011,58394.492,0.11243969,2.5955334,0.3167882
1,123,5.6653105,57.922783,0.15695095,22244.0585938112,60120.594,0.13977364,1.5429493,0.2527532
1,125,6.0861494,124.73936,0.18946499,25904.4391526278,68387.68,0.24788418,2.3745196,0.27218619
1,127,8.1545264,89.37516,0.16834664,21225.2955686315,56228.566,0.093806319,3.0647604,0.059762269
1,129,10.829142,16.753271,0.24812828,19936.3733098447,55603.398,0.085330181,1.726289,0.2684671
1,131,4.8124824,14.837366,0.44491953,12674.6354403455,40409.484,0.10117007,1.3172414,0.71325475
1,133,6.5968029,40.53302,0.19905922,18306.1174851993,53238.938,0.081923082,2.5491889,0.004187231
2,13,5.2938994,0.38628218,0.10563073,42384,91875.047,0.048829097,,0.016314423
2,16,1.4667657,1.2447964,0.10122216,45156.4815212613,104702.53,0.11004294,3.5979075,0.033223812
2,20,10.466909,152.68695,0.070306294,46873.3185809775,100003.1,0.28101626,3.1329191,0.06842117
2,50,2.7690576,0.39452794,0.29365835,26231.925962264,66491.75,0.12683982,-0.66132653,0.0069984742
2,60,0.43239701,2.4968095,0.051483423,51112,83842.563,0.21099745,,0.0055643879
2,68,14.322281,0.14845416,0.08627224,44606.0530758949,90089.227,0.22720365,3.4848018,0.014791337
2,70,6.1088938,0.26506862,0.24976526,29990.7990509594,71992.352,0.15642408,0.99625593,0.0045910613
2,90,10.462366,11.288858,0.072560295,40617.3892283146,88116.5,0.27635965,3.2001278,0.0601293
2,100,8.2176015,1.031657,0.091621757,36048,76426.094,0.2379518,3.1474195,0.0029264214
2,105,6.3572846,0.34206372,0.10366857,38893.0570295724,66419.219,0.20184007,,0.0054954397
2,110,9.6092418,11.366315,0.056286681,48361.0919747822,103388.87,0.35384095,2.9375267,0.013433048
2,122,13.087623,3.0911334,0.078644991,43445.165240606,81713.813,0.20304348,3.4423058,0.0070023448
2,130,12.12502,2.8971405,0.041902512,45247.1458206325,90868.797,0.20185567,2.9532373,0.0079477523
2,150,13.325934,2.1242585,0.053189471,46022.1270526593,98407.344,0.18934476,2.692416,0.0095273107
2,158,1.7784663,,,,,,,
2,164,7.2262466,0.077075906,0.19989692,25252.8593465547,71235.469,0.12436289,2.3988495,0.0010970928
2,170,12.172579,2.4106898,0.092337765,40735.4501659749,87804.914,0.18031096,3.2028072,0.01034963
2,180,1.7330537,0.40049192,0.22994871,29001.029603877,73012.234,0.14287962,1.457052,0.006247289
2,185,2.8585125,0.083262481,0.098622397,49848.3930512049,102102.37,0.12189469,1.1101568,0.0086632418
2,188,2.2994315,0.20262796,0.1846638,33313,76965.492,0.12412057,0.58294868,0.0048450367
2,195,10.199036,1.29644,0.050209496,45895.9429223772,88993.336,0.1792379,2.5278206,0.0070453477
2,198,3.4611896,1.5582774,0.090786465,39601.8074675694,70154.797,0.13934374,2.7300873,0.0035425557
2,220,11.814974,3.0780337,0.049967002,43365.2671996397,92878.656,0.29521346,3.2028825,0.0067532226
2,230,18.260323,1.9057094,0.042440318,37500,86837.344,0.25,,0
2,240,15.203205,0.24926513,0.14070106,31227.6405679977,72948.516,0.18662894,3.032402,0.024703735
2,261,10.790949,0.29775223,0.093102247,49063.740040742,88558.906,0.21228361,3.6165285,0.0054001133
2,275,13.171726,0.96663034,0.069110423,37004.0681062282,80044.414,0.13639356,3.8934619,0.0028586611
2,282,-0.80944886,0.10562841,0.074441679,41464.1325090695,77987.672,0.17624521,,0.0024752475
2,290,1.8278815,0.045022573,0.30841225,21074.7590507917,56283.43,0.14353502,1.8659627,0.0026113954
4,1,3.3127174,6.1998544,0.45295325,15249.3372536263,45100.832,0.11256015,1.6169322,0.0037930724
4,3,9.5904112,19.098427,0.18432178,25374.7869247471,62781.516,0.19476892,2.9489548,0.045322012
4,5,9.9743381,6.2474208,0.24864718,25425.5496494247,67511.797,0.29557633,2.8935094,0.013493362
4,7,9.2683077,10.789353,0.18265545,20777.236519647,57846.594,0.13289897,2.2503889,0.004190444
4,9,8.6098745,7.2446289,0.25581217,18279.0292973232,52923.422,0.11911248,3.3051391,0.020671224
4,11,11.71158,4.6372304,0.13261031,26527.1695629512,62244.516,0.11741745,3.7247963,0.004260065
4,12,7.0625782,5.0726261,0.2803477,16608.0602415596,49035.52,0.086904526,2.4132349,0.0091387071
4,13,8.7779999,380.66537,0.12313591,34279.2794241843,87085.352,0.24099492,3.460727,0.037874382
4,15,9.3118362,11.646836,0.15375111,24321.4586707922,59183.262,0.097987033,3.5140235,0.0064635519
4,17,7.469108,9.7956734,0.3125757,20094.23194794,53653.574,0.12192062,2.8389716,0.0098721031
4,19,7.486219,91.840996,0.15759061,28711.3092314713,71944.531,0.25266331,3.1437624,0.031221669
4,21,5.8306638,33.496273,0.22267672,21597.3010232436,66089.813,0.11262168,2.8502119,0.02399336
4,23,7.14444,31.029568,0.23575225,23332.9411011871,61619.473,0.1507332,3.0082901,0.0025264858
4,25,10.935912,20.621325,0.13817938,22042.191210057,66921.531,0.20488545,3.1019976,0.0051981458
4,27,6.898991,48.714886,0.20463972,23205.8449722989,61590.945,0.11092895,2.959877,0.019321099
5,1,5.1164757,20.984657,0.20020403,19657.986960408,56035.609,0.12327176,2.8419325,0.23097247
5,3,6.9535069,26.16205,0.19887012,21311.5856304906,58408.637,0.10072489,3.2626781,0.2665326
5,5,7.9705402,69.253433,0.1643417,18834.8435736927,54640.965,0.12729049,3.2335916,0.0014755703
5,7,11.069994,180.9615,0.09381064,26138.5014917219,74464.359,0.20407473,4.0846462,0.0047408775
5,9,8.2424939,57.51656,0.13700502,20719.0700608272,56504.219,0.12703578,5.0462875,0.0015702718
5,11,5.4688085,19.407576,0.2467217,17145.9852742549,50980.332,0.11898936,1.873879,0.28967652
5,13,9.4299085,9.1380424,0.15522069,21288.6903874814,55170.398,0.073942229,2.6398411,0.23461187
5,15,9.4193235,40.243713,0.14985129,20675.9872192727,57053.645,0.1311866,3.2393897,0.0016285812
5,17,5.0125044,21.910431,0.37476572,14389.4023728814,49378.602,0.11848313,2.9025805,0.51985407
5,19,8.229167,27.187021,0.24501532,18167.2699282453,54161.609,0.21714692,3.265244,0.22036667
5,21,7.6562077,27.537125,0.21147953,16216.3810130771,48929.559,0.074726112,3.4257894,0.0018359969
5,23,9.6204095,43.428474,0.17271283,19397.4457251849,59015.754,0.1394072,3.1420858,0.0016464489
5,25,12.426372,14.337979,0.18820114,19629.3883070549,58067.469,0.099907361,2.6485505,0.13326718
5,27,7.8717083,33.42197,0.2326422,19526.2652703186,57339.387,0.17781773,2.8583229,0.34936133
5,29,10.018708,36.820496,0.16613249,20324.5669158088,58421.73,0.11454401,3.8290083,0.13384336
5,31,8.7565288,116.15836,0.16106813,24368.6064950295,64413.129,0.21369866,3.7205071,0.077647611
5,33,7.4812762,89.778351,0.15515924,21721.0898892041,58298.617,0.096901692,2.6075034,0.010474333
5,35,4.1869868,83.419434,0.2502104,22284.7389636175,58389.535,0.1292613,2.8143556,0.44122553
5,37,7.6689757,31.678459,0.2326296,19861.8685506435,56928.758,0.10191386,2.6878955,0.21527179
5,39,4.9107224,13.80011,0.22315794,17801.7605187542,52314.781,0.096121147,2.5755684,0.40921083
5,41,4.6928681,19.971334,0.3210358,16783.5315190652,50650.949,0.11128405,2.722713,0.45546645
5,43,6.8120547,22.602629,0.23399548,19361.1043816522,58754.375,0.17935687,3.7336411,0.27283907
5,45,8.8755995,132.76027,0.13285817,24835.5752182879,70115.141,0.26462513,3.7551522,0.084930629
5,47,9.5886476,29.187477,0.20341942,18673.2631724138,53529.59,0.10922064,3.3623166,0.0070659784
5,49,6.2441465,18.832275,0.2629188,14844.4339499996,50611.172,0.10396691,4.8289404,0.0025540884
5,51,7.7605948,129.93616,0.16569665,21483.5394283106,62365.902,0.1786876,3.3942423,0.072285526
5,53,8.5141197,26.046873,0.14913933,24381.4944293919,66342.5,0.11041985,3.1503377,0.02596928
5,55,7.3162347,64.620041,0.17378843,20398.7189831314,56761.188,0.10807388,2.880573,0.0023014664
5,57,4.4152256,32.421101,0.22480784,17288.5094873723,52662.676,0.11009372,2.1386013,0.30109966
5,59,6.4990617,49.338104,0.18098529,19746.087869039,55025.988,0.11187284,3.5417521,0.094378494
5,61,5.5406991,24.296877,0.18557949,21487.2083544855,57422,0.11653079,2.9237556,0.21936142
5,63,8.0019407,44.810349,0.171223,20667.0791879281,59152.664,0.13984145,3.5232255,0.022404719
5,65,6.8881676,22.820402,0.21374524,16772.2365847459,47628.93,0.11639571,3.6926005,0.014559303
5,67,5.5720165,29.053268,0.26570794,16601.6316052675,51750.652,0.10093105,3.1669462,0.17351754
5,69,4.1571151,96.796967,0.21518891,23596.1505634612,60669.625,0.15979874,2.3488615,0.47063136
5,71,9.2829049,34.52692,0.20134519,18227.923301368,52433.457,0.13213167,2.7625952,0.015556415
5,73,6.5415531,16.202003,0.3466405,13862.7831550211,51099.977,0.095188692,3.2900198,0.36263254
5,75,5.9665639,30.247747,0.25379047,15267.3335512618,48774.84,0.085348114,3.5558407,0.005281433
5,77,6.7099996,20.875441,0.46891063,12286.8693399847,45625.492,0.073889107,0.81643963,0.5656051
5,79,5.6925531,25.808657,0.27339804,21308.4389793045,53172.855,0.077602901,2.518774,0.32264647
5,81,7.2975293,25.604317,0.19263671,22083.1029587359,56706.914,0.099240765,3.3753629,0.21385406
